No	TMNo	EnNo	Name	GMNo	Mode	DateTime
0	1	15	01010001	1	35	2020-01-01 16:00:58
0	1	15	01010001	1	35	2020-01-01 06:00:58
0	1	15	01010001	1	35	2020-01-02 16:00:58
0	1	15	01010001	1	35	2020-01-02 06:00:58
0	1	15	01010001	1	35	2020-01-03 16:00:58
0	1	15	01010001	1	35	2020-01-03 06:00:58
0	1	15	01010001	1	35	2020-01-04 16:00:58
0	1	15	01010001	1	35	2020-01-04 06:00:58
0	1	15	01010001	1	35	2020-01-05 16:00:58
0	1	15	01010001	1	35	2020-01-05 06:00:58
0	1	15	01010001	1	35	2020-01-06 16:00:58
0	1	15	01010001	1	35	2020-01-06 06:00:58
0	1	15	01010001	1	35	2020-01-07 16:00:58
0	1	15	01010001	1	35	2020-01-07 06:00:58
0	1	15	01010001	1	35	2020-01-08 16:00:58
0	1	15	01010001	1	35	2020-01-09 06:00:58
0	1	15	01010001	1	35	2020-01-10 16:00:58
0	1	15	01010001	1	35	2020-01-10 07:00:58
0	1	15	01010001	1	35	2020-01-14 16:00:58
0	1	15	01010001	1	35	2020-01-14 06:00:58
0	1	15	01010001	1	35	2020-01-14 16:00:58
0	1	15	01010001	1	35	2020-01-14 07:00:58
0	1	15	01010001	1	35	2020-01-15 16:00:58
0	1	15	01010001	1	35	2020-01-15 06:00:58
0	1	15	01010001	1	35	2020-01-16 14:00:58
0	1	15	01010001	1	35	2020-01-16 06:00:58
0	1	15	01010001	1	35	2020-01-17 14:00:58
0	1	15	01010001	1	35	2020-01-17 06:00:58
0	1	15	01010001	1	35	2020-01-20 16:00:58
0	1	15	01010001	1	35	2020-01-20 06:00:58
0	1	15	01010001	1	35	2020-01-21 16:00:58
0	1	15	01010001	1	35	2020-01-21 06:00:58
0	1	15	01010001	1	35	2020-01-22 16:00:58
0	1	15	01010001	1	35	2020-01-22 06:00:58
0	1	15	01010001	1	35	2020-01-23 16:00:58
0	1	15	01010001	1	35	2020-01-23 06:00:58
0	1	15	01010001	1	35	2020-01-24 16:00:58
0	1	15	01010001	1	35	2020-01-24 06:00:58
0	1	15	01010001	1	35	2020-01-31 16:00:58
0	1	15	01010001	1	35	2020-01-31 06:00:58
